R,淡水-象山,捷運淡水站,捷運紅樹林站,175,1,0
R,淡水-象山,捷運紅樹林站,捷運竹圍站,138,2,25
R,淡水-象山,捷運竹圍站,捷運關渡站,148,3,25
R,淡水-象山,捷運關渡站,捷運忠義站,80,4,25
R,淡水-象山,捷運忠義站,捷運復興崗站,112,5,25
R,淡水-象山,捷運復興崗站,捷運北投站,135,6,25
R,淡水-象山,捷運北投站,捷運奇岩站,91,7,28
R,淡水-象山,捷運奇岩站,捷運唭哩岸站,75,8,23
R,淡水-象山,捷運唭哩岸站,捷運石牌站,103,9,24
R,淡水-象山,捷運石牌站,捷運明德站,63,10,26
R,淡水-象山,捷運明德站,捷運芝山站,79,11,26
R,淡水-象山,捷運芝山站,捷運士林站,94,12,26
R,淡水-象山,捷運士林站,捷運劍潭站,95,13,26
R,淡水-象山,捷運劍潭站,捷運圓山站,112,14,26
R,淡水-象山,捷運圓山站,捷運民權西路站,88,15,26
R,淡水-象山,捷運民權西路站,捷運雙連站,60,16,34
R,淡水-象山,捷運雙連站,捷運中山站,62,17,28
R,淡水-象山,捷運中山站,捷運台北車站,68,18,28
R,淡水-象山,捷運台北車站,捷運台大醫院站,67,19,35
R,淡水-象山,捷運台大醫院站,捷運中正紀念堂站,95,20,26
R,淡水-象山,捷運中正紀念堂站,捷運東門站,175,21,30
R,淡水-象山,捷運東門站,捷運大安森林公園站,75,22,31
R,淡水-象山,捷運大安森林公園站,捷運大安站,74,23,25
R,淡水-象山,捷運大安站,捷運信義安和站,90,24,37
R,淡水-象山,捷運信義安和站,捷運台北101/世貿站,94,25,26
R,淡水-象山,捷運台北101/世貿站,捷運象山站,93,26,29
G,松山-新店,捷運松山站,捷運南京三民站,138,1,0
G,松山-新店,捷運南京三民站,捷運台北小巨蛋站,102,2,27
G,松山-新店,捷運台北小巨蛋站,捷運南京復興站,84,3,27
G,松山-新店,捷運南京復興站,捷運松江南京站,92,4,33
G,松山-新店,捷運松江南京站,捷運中山站,106,5,35
G,松山-新店,捷運中山站,捷運北門站,116,6,35
G,松山-新店,捷運北門站,捷運西門站,86,7,28
G,松山-新店,捷運西門站,捷運小南門站,83,8,34
G,松山-新店,捷運小南門站,捷運中正紀念堂站,76,9,27
G,松山-新店,捷運中正紀念堂站,捷運古亭站,87,10,38
G,松山-新店,捷運古亭站,捷運台電大樓站,85,11,33
G,松山-新店,捷運台電大樓站,捷運公館站,79,12,30
G,松山-新店,捷運公館站,捷運萬隆站,122,13,29
G,松山-新店,捷運萬隆站,捷運景美站,89,14,27
G,松山-新店,捷運景美站,捷運大坪林站,92,15,27
G,松山-新店,捷運大坪林站,捷運七張站,78,16,27
G,松山-新店,捷運七張站,捷運新店區公所站,81,17,24
G,松山-新店,捷運新店區公所站,捷運新店站,111,18,25
G-1,七張-小碧潭,捷運七張站,捷運小碧潭站,203,1,0
R-1,北投-新北投,捷運北投站,捷運新北投站,157,1,0
BL,南港展覽館-頂埔,捷運南港展覽館站,捷運南港站,112,1,0
BL,南港展覽館-頂埔,捷運南港站,捷運昆陽站,109,2,24
BL,南港展覽館-頂埔,捷運昆陽站,捷運後山埤站,107,3,25
BL,南港展覽館-頂埔,捷運後山埤站,捷運永春站,76,4,29
BL,南港展覽館-頂埔,捷運永春站,捷運市政府站,87,5,25
BL,南港展覽館-頂埔,捷運市政府站,捷運國父紀念館站,77,6,28
BL,南港展覽館-頂埔,捷運國父紀念館站,捷運忠孝敦化站,71,7,28
BL,南港展覽館-頂埔,捷運忠孝敦化站,捷運忠孝復興站,65,8,28
BL,南港展覽館-頂埔,捷運忠孝復興站,捷運忠孝新生站,90,9,40
BL,南港展覽館-頂埔,捷運忠孝新生站,捷運善導寺站,81,10,40
BL,南港展覽館-頂埔,捷運善導寺站,捷運台北車站,66,11,25
BL,南港展覽館-頂埔,捷運台北車站,捷運西門站,120,12,42
BL,南港展覽館-頂埔,捷運西門站,捷運龍山寺站,110,13,35
BL,南港展覽館-頂埔,捷運龍山寺站,捷運江子翠站,192,14,29
BL,南港展覽館-頂埔,捷運江子翠站,捷運新埔站,77,15,28
BL,南港展覽館-頂埔,捷運新埔站,捷運板橋站,107,16,28
BL,南港展覽館-頂埔,捷運板橋站,捷運府中站,67,17,28
BL,南港展覽館-頂埔,捷運府中站,捷運亞東醫院站,102,18,28
BL,南港展覽館-頂埔,捷運亞東醫院站,捷運海山站,142,19,26
BL,南港展覽館-頂埔,捷運海山站,捷運土城站,106,20,26
BL,南港展覽館-頂埔,捷運土城站,捷運永寧站,95,21,26
BL,南港展覽館-頂埔,捷運永寧站,捷運頂埔站,180,22,28
BL,南港展覽館-亞東醫院,捷運南港展覽館站,捷運南港站,112,1,0
BR,動物園-南港展覽館,捷運南港展覽館站,捷運南港軟體園區站,78,1,0
BR,動物園-南港展覽館,捷運南港軟體園區站,捷運東湖站,85,2,25
BR,動物園-南港展覽館,捷運東湖站,捷運葫洲站,78,3,25
BR,動物園-南港展覽館,捷運葫洲站,捷運大湖公園站,121,4,25
BR,動物園-南港展覽館,捷運大湖公園站,捷運內湖站,71,5,25
BR,動物園-南港展覽館,捷運內湖站,捷運文德站,78,6,25
BR,動物園-南港展覽館,捷運文德站,捷運港墘站,72,7,25
BR,動物園-南港展覽館,捷運港墘站,捷運西湖站,65,8,25
BR,動物園-南港展覽館,捷運西湖站,捷運劍南路站,110,9,25
BR,動物園-南港展覽館,捷運劍南路站,捷運大直站,103,10,25
BR,動物園-南港展覽館,捷運大直站,捷運松山機場站,172,11,25
BR,動物園-南港展覽館,捷運松山機場站,捷運中山國中站,142,12,25
BR,動物園-南港展覽館,捷運中山國中站,捷運南京復興站,66,13,25
BR,動物園-南港展覽館,捷運南京復興站,捷運忠孝復興站,86,14,30
BR,動物園-南港展覽館,捷運忠孝復興站,捷運大安站,67,15,45
BR,動物園-南港展覽館,捷運大安站,捷運科技大樓站,69,16,30
BR,動物園-南港展覽館,捷運科技大樓站,捷運六張犁站,122,17,25
BR,動物園-南港展覽館,捷運六張犁站,捷運麟光站,72,18,25
BR,動物園-南港展覽館,捷運麟光站,捷運辛亥站,124,19,25
BR,動物園-南港展覽館,捷運辛亥站,捷運萬芳醫院站,106,20,25
BR,動物園-南港展覽館,捷運萬芳醫院站,捷運萬芳社區站,99,21,25
BR,動物園-南港展覽館,捷運萬芳社區站,捷運木柵站,47,22,25
BR,動物園-南港展覽館,捷運木柵站,捷運動物園站,67,23,25
O1,南勢角-蘆洲,捷運蘆洲站,捷運三民高中站,111,1,0
O1,南勢角-蘆洲,捷運三民高中站,捷運徐匯中學站,92,2,25
O1,南勢角-蘆洲,捷運徐匯中學站,捷運三和國中站,82,3,25
O1,南勢角-蘆洲,捷運三和國中站,捷運三重國小站,107,4,25
O1,南勢角-蘆洲,捷運三重國小站,捷運大橋頭站,151,5,25
O1,南勢角-蘆洲,捷運大橋頭站,捷運民權西路站,72,6,26
O1,南勢角-蘆洲,捷運民權西路站,捷運中山國小站,72,7,33
O1,南勢角-蘆洲,捷運中山國小站,捷運行天宮站,96,8,30
O1,南勢角-蘆洲,捷運行天宮站,捷運松江南京站,78,9,30
O1,南勢角-蘆洲,捷運松江南京站,捷運忠孝新生站,102,10,30
O1,南勢角-蘆洲,捷運忠孝新生站,捷運東門站,136,11,38
O1,南勢角-蘆洲,捷運東門站,捷運古亭站,208,12,33
O1,南勢角-蘆洲,捷運古亭站,捷運頂溪站,187,13,33
O1,南勢角-蘆洲,捷運頂溪站,捷運永安市場站,103,14,29
O1,南勢角-蘆洲,捷運永安市場站,捷運景安站,90,15,29
O1,南勢角-蘆洲,捷運景安站,捷運南勢角站,97,16,28
O2,南勢角-迴龍,捷運迴龍站,捷運丹鳳站,168,1,0
O2,南勢角-迴龍,捷運丹鳳站,捷運輔大站,113,2,25
O2,南勢角-迴龍,捷運輔大站,捷運新莊站,137,3,25
O2,南勢角-迴龍,捷運新莊站,捷運頭前庄站,94,4,25
O2,南勢角-迴龍,捷運頭前庄站,捷運先嗇宮站,108,5,25
O2,南勢角-迴龍,捷運先嗇宮站,捷運三重站,142,6,25
O2,南勢角-迴龍,捷運三重站,捷運菜寮站,84,7,25
O2,南勢角-迴龍,捷運菜寮站,捷運台北橋站,97,8,25
O2,南勢角-迴龍,捷運台北橋站,捷運大橋頭站,127,9,25
O2,南勢角-迴龍,捷運大橋頭站,捷運民權西路站,72,10,26
O2,南勢角-迴龍,捷運民權西路站,捷運中山國小站,72,11,33
O2,南勢角-迴龍,捷運中山國小站,捷運行天宮站,96,12,30
O2,南勢角-迴龍,捷運行天宮站,捷運松江南京站,78,13,30
O2,南勢角-迴龍,捷運松江南京站,捷運忠孝新生站,102,14,30
O2,南勢角-迴龍,捷運忠孝新生站,捷運東門站,136,15,38
O2,南勢角-迴龍,捷運東門站,捷運古亭站,208,16,33
O2,南勢角-迴龍,捷運古亭站,捷運頂溪站,187,17,33
O2,南勢角-迴龍,捷運頂溪站,捷運永安市場站,103,18,29
O2,南勢角-迴龍,捷運永安市場站,捷運景安站,90,19,29
O2,南勢角-迴龍,捷運景安站,捷運南勢角站,97,20,28
